country,year,month,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Low carbon - TWh,Other - TWh,climate_region
Seychelles,2022,12,27.089381720430108,75.3252688172043,0.4260752688172043,16.299596774193546,74.58290998769868,1.6977425885012458,1.5152297447500664,3.3672222222222223,0.3972,55131812.59390795,8003005.053954376,47128807.53995356,0.0,0.0,0.0,8003005.053954376,0.0,Rainforest
Seychelles,2023,1,26.80188172043011,75.15456989247312,0.3983870967741936,16.059005376344086,74.05172569325794,1.6962676158811956,1.5013441866106774,3.3672222222222223,0.3972,55131812.59390795,8003005.053954376,47128807.53995356,0.0,0.0,0.0,8003005.053954376,0.0,Rainforest
Seychelles,2023,2,27.27127976190476,75.87797619047619,0.15816964285714286,20.65669642857143,75.03920102229691,1.6989593702692511,1.5272929669930726,3.3672222222222223,0.3972,49796475.891271695,7228520.693894275,42567955.19737741,0.0,0.0,0.0,7228520.693894275,0.0,Rainforest
Seychelles,2023,3,28.268548387096775,71.36290322580645,0.08220430107526881,9.983064516129033,75.53494730176324,1.7000848714631964,1.5409290801491675,3.3672222222222223,0.3972,55131812.59390795,8003005.053954376,47128807.53995356,0.0,0.0,0.0,8003005.053954376,0.0,Rainforest
Seychelles,2023,4,28.44097222222222,70.57083333333334,0.28361111111111115,9.636805555555556,75.60957222942065,1.7002250087213087,1.543060689112319,3.3672222222222223,0.3972,53353367.02636253,7744843.600601009,45608523.42576151,0.0,0.0,0.0,7744843.600601009,0.0,Rainforest
Seychelles,2023,5,28.045967741935485,75.18279569892474,0.07029569892473118,18.99677419354839,76.18371335922582,1.7014122379036845,1.5591665914586545,3.3672222222222223,0.3972,55131812.59390795,8003005.053954376,47128807.53995356,0.0,0.0,0.0,8003005.053954376,0.0,Rainforest
Seychelles,2023,6,26.771805555555556,77.1138888888889,0.1076388888888889,26.461944444444445,74.5120092597805,1.6969967187398447,1.5148565487046592,3.3672222222222223,0.3972,53353367.02636253,7744843.600601009,45608523.42576151,0.0,0.0,0.0,7744843.600601009,0.0,Rainforest
Seychelles,2023,7,25.698521505376345,82.68145161290323,0.10994623655913979,27.59798387096774,74.07130950409308,1.69633227030409,1.5018284191711044,3.3672222222222223,0.3972,55131812.59390795,8003005.053954376,47128807.53995356,0.0,0.0,0.0,8003005.053954376,0.0,Rainforest
Seychelles,2023,8,25.566875000000003,84.81458333333333,0.06666666666666667,24.237083333333334,74.37426222801267,1.697196160824402,1.5096867284996698,3.3672222222222223,0.3972,35568911.350908354,5163229.06706734,30405682.283841006,0.0,0.0,0.0,5163229.06706734,0.0,Rainforest
Sierra Leone,2022,8,22.95734126984127,93.90128968253968,1.2532291666666668,6.770436507936508,71.89603483237416,1.688363759470258,1.4501641580693054,5.255879252631578,0.3972,6884305.422756456,6540090.151618633,344215.27113782265,0.0,0.0,0.0,6540090.151618633,0.0,Desert
Sierra Leone,2022,9,23.477896825396826,93.1952380952381,0.9758749999999999,5.217242063492064,72.64561358429967,1.6908673255116733,1.4686204727298289,5.255879252631578,0.3972,17210763.55689114,16350225.379046584,860538.1778445567,0.0,0.0,0.0,16350225.379046584,0.0,Desert
Sierra Leone,2022,10,24.597561443932413,88.39151305683563,0.4112999231950845,3.946466973886329,73.38826930956878,1.6930895248569815,1.4876026051289115,5.255879252631578,0.3972,17784455.675454177,16895232.89168147,889222.7837727086,0.0,0.0,0.0,16895232.89168147,0.0,Desert
Sierra Leone,2022,11,25.350853174603174,77.41031746031746,0.1269206349206349,3.9313095238095235,71.78255054498322,1.6863465130195114,1.4517868737737982,5.255879252631578,0.3972,17210763.55689114,16350225.379046584,860538.1778445567,0.0,0.0,0.0,16350225.379046584,0.0,Desert
Sierra Leone,2022,12,25.896082949308752,67.55030721966206,0.03908410138248848,4.590956221198157,69.7360742603338,1.6749054378097434,1.413816513218981,5.255879252631578,0.3972,17784455.675454177,16895232.89168147,889222.7837727086,0.0,0.0,0.0,16895232.89168147,0.0,Desert
Sierra Leone,2023,1,26.84120583717358,60.91340245775729,0.005996543778801843,5.341801075268817,68.85496543902146,1.6709178458569136,1.3949384097318807,5.255879252631578,0.3972,17784455.675454177,16895232.89168147,889222.7837727086,0.0,0.0,0.0,16895232.89168147,0.0,Desert
Sierra Leone,2023,2,28.129761904761903,62.77636054421769,0.004007227891156463,6.098107993197279,71.6183652237511,1.6863511747373323,1.4462531681444128,5.255879252631578,0.3972,16063379.319765063,15260210.35377681,803168.9659882529,0.0,0.0,0.0,15260210.35377681,0.0,Desert
Sierra Leone,2023,3,28.0497311827957,63.99366359447004,0.1705837173579109,6.47200460829493,71.76294030616764,1.686243817710923,1.451404318439609,5.255879252631578,0.3972,17784455.675454177,16895232.89168147,889222.7837727086,0.0,0.0,0.0,16895232.89168147,0.0,Desert
